id,DOI
1,https://doi.org/10.1145/332040.332042
2,https://doi.org/10.1145/332040.332044
3,https://doi.org/10.1145/332040.332047
4,https://doi.org/10.1145/332040.332403
5,https://doi.org/10.1145/332040.332404
6,https://doi.org/10.1145/332040.332405
7,https://doi.org/10.1145/332040.332406
8,https://doi.org/10.1145/332040.332407
9,https://doi.org/10.1145/332040.332408
10,https://doi.org/10.1145/332040.332409
11,https://doi.org/10.1145/332040.332410
12,https://doi.org/10.1145/332040.332411
13,https://doi.org/10.1145/332040.332412
14,https://doi.org/10.1145/332040.332413
15,https://doi.org/10.1145/332040.332414
16,https://doi.org/10.1145/332040.332415
17,https://doi.org/10.1145/332040.332416
18,https://doi.org/10.1145/332040.332417
19,https://doi.org/10.1145/332040.332418
20,https://doi.org/10.1145/332040.332419
21,https://doi.org/10.1145/332040.332423
22,https://doi.org/10.1145/332040.332425
23,https://doi.org/10.1145/332040.332427
24,https://doi.org/10.1145/332040.332428
25,https://doi.org/10.1145/332040.332430
26,https://doi.org/10.1145/332040.332432
27,https://doi.org/10.1145/332040.332433
28,https://doi.org/10.1145/332040.332434
29,https://doi.org/10.1145/332040.332435
30,https://doi.org/10.1145/332040.332437
31,https://doi.org/10.1145/365024.365027
32,https://doi.org/10.1145/365024.365028
33,https://doi.org/10.1145/365024.365030
34,https://doi.org/10.1145/365024.365031
35,https://doi.org/10.1145/365024.365032
36,https://doi.org/10.1145/365024.365033
37,https://doi.org/10.1145/365024.365034
38,https://doi.org/10.1145/365024.365035
39,https://doi.org/10.1145/365024.365037
40,https://doi.org/10.1145/365024.365038
41,https://doi.org/10.1145/365024.365047
42,https://doi.org/10.1145/365024.365051
43,https://doi.org/10.1145/365024.365054
44,https://doi.org/10.1145/365024.365056
45,https://doi.org/10.1145/365024.365060
46,https://doi.org/10.1145/365024.365061
47,https://doi.org/10.1145/365024.365064
48,https://doi.org/10.1145/365024.365069
49,https://doi.org/10.1145/365024.365073
50,https://doi.org/10.1145/365024.365077
51,https://doi.org/10.1145/365024.365078
52,https://doi.org/10.1145/365024.365090
53,https://doi.org/10.1145/365024.365092
54,https://doi.org/10.1145/365024.365094
55,https://doi.org/10.1145/365024.365096
56,https://doi.org/10.1145/365024.365097
57,https://doi.org/10.1145/365024.365098
58,https://doi.org/10.1145/365024.365100
59,https://doi.org/10.1145/365024.365102
60,https://doi.org/10.1145/365024.365105
61,https://doi.org/10.1145/503376.503378
62,https://doi.org/10.1145/503376.503379
63,https://doi.org/10.1145/503376.503381
64,https://doi.org/10.1145/503376.503382
65,https://doi.org/10.1145/503376.503383
66,https://doi.org/10.1145/503376.503385
67,https://doi.org/10.1145/503376.503386
68,https://doi.org/10.1145/503376.503388
69,https://doi.org/10.1145/503376.503389
70,https://doi.org/10.1145/503376.503390
71,https://doi.org/10.1145/503376.503392
72,https://doi.org/10.1145/503376.503393
73,https://doi.org/10.1145/503376.503394
74,https://doi.org/10.1145/503376.503396
75,https://doi.org/10.1145/503376.503397
76,https://doi.org/10.1145/503376.503398
77,https://doi.org/10.1145/503376.503400
78,https://doi.org/10.1145/503376.503401
79,https://doi.org/10.1145/503376.503402
80,https://doi.org/10.1145/503376.503404
81,https://doi.org/10.1145/503376.503405
82,https://doi.org/10.1145/503376.503406
83,https://doi.org/10.1145/503376.503408
84,https://doi.org/10.1145/503376.503409
85,https://doi.org/10.1145/503376.503410
86,https://doi.org/10.1145/503376.503412
87,https://doi.org/10.1145/503376.503413
88,https://doi.org/10.1145/503376.503414
89,https://doi.org/10.1145/503376.503416
90,https://doi.org/10.1145/503376.503418
91,https://doi.org/10.1145/503376.503419
92,https://doi.org/10.1145/503376.503420
93,https://doi.org/10.1145/503376.503422
94,https://doi.org/10.1145/503376.503423
95,https://doi.org/10.1145/503376.503424
96,https://doi.org/10.1145/503376.503426
97,https://doi.org/10.1145/503376.503427
98,https://doi.org/10.1145/503376.503428
99,https://doi.org/10.1145/503376.503430
100,https://doi.org/10.1145/503376.503431
101,https://doi.org/10.1145/503376.503433
102,https://doi.org/10.1145/503376.503434
103,https://doi.org/10.1145/503376.503435
104,https://doi.org/10.1145/503376.503437
105,https://doi.org/10.1145/503376.503438
106,https://doi.org/10.1145/503376.503439
107,https://doi.org/10.1145/503376.503441
108,https://doi.org/10.1145/503376.503442
109,https://doi.org/10.1145/503376.503444
